N.,Codice,Tipo,Prodotto,SuperMercato,Costo,Offerta,Qta,Totale
1,MMK05072,Frutta e Verdure,Melone giallo,Megamark,,"€ 0,89",2,"€ 1,78"
2,MMK10044,Pane e pasta,Pan bauletto integrale,Megamark,,"€ 1,14",3,"€ 3,42"
3,MMK05073,Frutta e Verdure,Patate selenella kg. 1.5,Megamark,,"€ 2,40",1,"€ 2,40"
4,MMK07074,Insaccati,Prosciutto cotto Selex,Megamark,,"€ 0,99",2,"€ 1,98"
5,MMK17075,Biscotti,Atene Doria 500gr,Megamark,,"€ 1,49",4,"€ 5,96"
6,MMK19076,Confettura,Marmellata Hero light Fragola,Megamark,,"€ 1,90",3,"€ 5,70"
7,MMK19077,Confettura,Marmellata Hero lighr albicocca,Megamark,,"€ 1,90",2,"€ 3,80"
8,MMK08078,Latte e Formaggi,Yogurt Lc1 Fragola 9 bottiglie piccole,Megamark,,"€ 2,29",2,"€ 4,58"
9,MMK15079,Surgelati,Margherita Buitoni conf. 2,Megamark,,"€ 3,28",4,"€ 13,12"
10,MMK11080,Pesce,Tonno in scatola all’olio d’oliva 6 lattine,Megamark,,"€ 3,99",2,"€ 7,98"
11,MMK10081,Pane e pasta,Molisana da 1 Kg,Megamark,,"€ 0,90",8,"€ 7,20"
12,MMK06060,Gelati,Cornetti Selex 6,Megamark,,"€ 2,49",2,"€ 4,98"
13,MMK13069,Salse,Barbecue,Megamark,,"€ 1,89",4,"€ 7,56"
14,MMK10014,Pane e pasta,Piadina Sapori,Megamark,,"€ 1,00",4,"€ 4,00"
15,MMK08082,Latte e Formaggi,Yogurt Yomo senza zuccheru Cocco,Megamark,,"€ 0,99",1,"€ 0,99"
16,MMK08083,Latte e Formaggi,Latte di avena selex,Megamark,"€ 1,69",,4,"€ 6,76"
17,MMK08084,Latte e Formaggi,Burro senza lattosio Selex,Megamark,"€ 1,69",,3,"€ 5,07"
18,MMK08085,Latte e Formaggi,Formaggio grattugiato Padano,Megamark,"€ 1,89",,5,"€ 9,45"
